Name,Phone,Address,URL
"
新竹市文化局圖書館
",03-5319756#237,30054 新竹市北區東大路2段15巷1號,http://www.hcml.gov.tw/mp.asp?mp=1
"
新竹市文化局圖書館金山分館
",03-6686413,300 新竹市東區光復路一段163巷53弄1之4號2樓,http://www.hcml.gov.tw/lp.asp?CtNode=827&CtUnit=212&BaseDSD=7&mp=1&xq_xCat=30
"
新竹市文化局圖書館南寮分館
",03-5365275,300 新竹市東區中光路17號2樓,http://www.hcml.gov.tw/lp.asp?CtNode=827&CtUnit=212&BaseDSD=7&mp=1&xq_xCat=40
"
新竹市文化局圖書館香山分館
",03-5387311,30091 新竹市香山區牛埔路389號,http://www.hcml.gov.tw/lp.asp?CtNode=827&CtUnit=212&BaseDSD=7&mp=1&xq_xCat=20
"
新竹市文化局圖書館鹽水分館
",03-5372000,30095 新竹市香山區長興街262巷38號,http://www.hcml.gov.tw/lp.asp?CtNode=827&CtUnit=212&BaseDSD=7&mp=1&xq_xCat=50
