Name,Phone,Address,URL
"
連江縣政府文化處馬祖圖書館
",0836-22148,209 連江縣南竿鄉馬祖村5號,http://www.matsucc.gov.tw/library.htm
"
連江縣政府文化處中正圖書館
",0836-22112,209 連江縣南竿鄉介壽村256號,http://www.matsucc.gov.tw/library20.htm
"
連江縣莒光鄉立圖書館東莒分館
",0836-88104,211 連江縣莒光鄉東莒大坪村57-1號,http://www.chukuang.gov.tw/organization_library.php
"
連江縣北竿鄉圖書館
",0836-55043,210 連江縣北竿鄉塘岐村113號,http://www.matsucc.gov.tw/library_3.htm
"
連江縣莒光鄉圖書館
",0836-88214,211 連江縣莒光鄉青帆村73之1號,http://www.chukuang.gov.tw/organization_library.php
"
連江縣東引鄉圖書館
",0836-77230,212 連江縣東引鄉中柳村92-3號,http://www.dongyin.gov.tw/team-library.html
