Name,Phone,Address,URL
"
澎湖縣圖書館
",06-9261141#153,880 澎湖縣馬公市中華路236-1號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.02_1
"
澎湖縣湖西鄉立圖書館
",06-9922855,885 澎湖縣湖西鄉湖西村43之5號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_2
"
澎湖縣白沙鄉立圖書館
",06-9932002,884 澎湖縣白沙鄉赤崁村368號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_3
"
澎湖縣西嶼鄉立圖書館
",06-9981500,881 澎湖縣西嶼鄉赤馬村78-1號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_4
"
澎湖縣望安鄉立圖書館
",06-9991446,882 澎湖縣望安鄉東安村73號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_5
"
澎湖縣七美鄉立圖書館
",06-9971854,883 澎湖縣七美鄉中和村4鄰3-1號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_6
"
澎湖縣政府文化局澎南圖書分館
",06-9952749,880 澎湖縣馬公市鎖港里309號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_1
